eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,Pollution Score,Classification,Endlatitude,Endlongitude,geodeticDatum,countryCode,Taxon
S3CR_A,S3CR_A1,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus_nathusii,Nathusius'_pipistrelle,Species,N/A,N/A,N/A,Present,N55 41.9613,W005 170867,,Protected,N/A,N/A,WGS84,GB,Bats
S3CR_A,S3CR_A2,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus_pipistrellus,Common_pipistrelle,Species,N/A,N/A,N/A,Present,N55 41.9613,W005 170867,,Protected,N/A,N/A,WGS84,GB,Bats
S3CR_A,S3CR_A3,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus_pygmaeus,Soprano_pipistrelle,Species,N/A,N/A,N/A,Present,N55 41.9613,W005 170867,,Protected,N/A,N/A,WGS84,GB,Bats
N3CR_A,N3CR_A1,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus_pipistrellus,Common_pipistrelle,Species,N/A,N/A,N/A,Present,N55 42.4494,W005 170579,,Protected,N/A,N/A,WGS84,GB,Bats
S3CR_B,S3CR_B1,Audiomoth,10/09/2025,Animalia,Chiroptera,Nyctalus_leisleri,Lesser_noctule,Species,N/A,N/A,N/A,Present,N55 41.9613,W005 170867,,Protected,N/A,N/A,WGS84,GB,Bats
S3CR_B,S3CR_B2,Audiomoth,10/09/2025,Animalia,Chiroptera,Pipistrellus_pipistrellus,Common_pipistrelle,Species,N/A,N/A,N/A,Present,N55 41.9613,W005 170867,,Protected,N/A,N/A,WGS84,GB,Bats
S3CR_B,S3CR_B3,Audiomoth,10/09/2025,Animalia,Chiroptera,Pipistrellus_pygmaeus,Soprano_pipistrelle,Species,N/A,N/A,N/A,Present,N55 41.9613,W005 170867,,Protected,N/A,N/A,WGS84,GB,Bats
S2CR_A,S2CR_A1,Audiomoth,10/09/2025,Animalia,Chiroptera,Nyctalus_leisleri,Lesser_noctule,Species,N/A,N/A,N/A,Present,N55 41.945,W005 17.102,,Protected,N/A,N/A,WGS84,GB,Bats
S2CR_A,S2CR_A2,Audiomoth,10/09/2025,Animalia,Chiroptera,Pipistrellus_nathusii,Nathusius'_pipistrelle,Species,N/A,N/A,N/A,Present,N55 41.945,W005 17.102,,Protected,N/A,N/A,WGS84,GB,Bats
S2CR_A,S2CR_A3,Audiomoth,10/09/2025,Animalia,Chiroptera,Pipistrellus_pipistrellus,Common_pipistrelle,Species,N/A,N/A,N/A,Present,N55 41.945,W005 17.102,,Protected,N/A,N/A,WGS84,GB,Bats
S2CR_B,S2CR_B1,Audiomoth,10/09/2025,Animalia,Chiroptera,Pipistrellus_nathusii,Nathusius'_pipistrelle,Species,N/A,N/A,N/A,Present,N55 41.791,W005 17.028,,Protected,N/A,N/A,WGS84,GB,Bats
S2CR_B,S2CR_B2,Audiomoth,10/09/2025,Animalia,Chiroptera,Pipistrellus_pipistrellus,Common_pipistrelle,Species,N/A,N/A,N/A,Present,N55 41.791,W005 17.028,,Protected,N/A,N/A,WGS84,GB,Bats
S2CR_B,S2CR_B3,Audiomoth,10/09/2025,Animalia,Chiroptera,Pipistrellus_pygmaeus,Soprano_pipistrelle,Species,N/A,N/A,N/A,Present,N55 41.791,W005 17.028,,Protected,N/A,N/A,WGS84,GB,Bats
