eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,BMWPscore,Endlatitude,Endlongitude,geodeticDatum,countryCode,Revised BMWP Score,Score,ASPT Scores
SD4FI_A,D4FI_A1,Humanobservation,10/09/2025,Animalia,Oligochaeta,,Worm,Order,1,1,Individuals,Present,N55 41.854,W005 16.439,1,,,WGS84,GB,3.5,50.1,7.157142857
SD4FI_A,D4FI_A2,Humanobservation,10/09/2025,Animalia,Diptera,,Blackfly_larvae,Order,1,1,Individuals,Present,N55 41.854,W005 16.439,5,,,WGS84,GB,5.8,50.1,7.157142857
SU4FI_A,SU4FI_A1,Humanobservation,10/09/2025,Animalia,Plecoptera,,Stonefly_larvae,Order,8,8,Individuals,Present,N55 41.828,W005 16.382,7,,,WGS84,GB,9.1,50.1,7.157142857
SU4FI_A,SU4FI_A2,Humanobservation,10/09/2025,Animalia,Coleoptera,,Waterbeetle_larvae ,Order,1,1,Individuals,Present,N55 41.829,W005 16.383,5,,,WGS84,GB,4.8,50.1,7.157142857
SU4FI_A,SU4FI_A3,Humanobservation,10/09/2025,Animalia,Coleoptera,,Waterbeetle ,Order,1,1,Individuals,Present,N55 41.830,W005 16.384,5,,,WGS84,GB,4.8,50.1,7.157142857
SU4FI_A,SU4F1_A4,Humanobservation,10/09/2025,Animalia,Trichoptera,,Caddisfly_larvae,Order,1,1,Individuals,Present,N55 41.831,W005 16.385,10,,,WGS84,GB,7.8,50.1,7.157142857
SU4FI_A,SU4F1_A5,Humanobservation,10/09/2025,Animalia,Ephemeropltera ,,Mayfly_larvae,Order,2,2,Individuals,Present,N55 41.832,W005 16.386,10,,,WGS84,GB,7.7,50.1,7.157142857
NU4FI_A,NU4FI_W1,Humanobservation,11/09/2025,Animalia,Trichoptera,Hydropsychidae,Caddisfly_larvae,Family,1,1,Individuals,Present,N55 42.464,W005 17.036,5,,,WGS84,GB,6.6,101.8,6.3625
NU4FI_A,NU4FI_W2,Humanobservation,11/09/2025,Animalia,Coleoptera,,Waterbeetle ,Order,3,3,Individuals,Present,N55 42.464,W005 17.036,5,,,WGS84,GB,4.8,101.8,6.3625
NU4FI_A,NU4FI_W3,Humanobservation,11/09/2025,Animalia,Oligochaeta,,Worm,Order,1,1,Individuals,Present,N55 42.464,W005 17.036,1,,,WGS84,GB,3.5,101.8,6.3625
NU4FI_A,NU4FI_W4,Humanobservation,11/09/2025,Animalia,Trichoptera,Philopotamidae,Caseless_caddisfly_larvae,Family,4,4,Individuals,Present,N55 42.464,W005 17.036,10,,,WGS84,GB,8.3,101.8,6.3625
NU4FI_A,NU4FI_W5,Humanobservation,11/09/2025,Animalia,Trichoptera,,Cased_caddisfly_larvae,Order,3,3,Individuals,Present,N55 42.464,W005 17.036,10,,,WGS84,GB,6.9,101.8,6.3625
NU4FI_A,NU4FI_W6,Humanobservation,11/09/2025,Animalia,Odonata,anisoptera,Dragonfly_larvae,Family,1,1,Individuals,Present,N55 42.464 ,W005 17.036,,,,WGS84,GB,6.1,101.8,6.3625
ND4FI_A,ND4FI_W1,Humanobservation,11/09/2025,Animalia,Plecoptera,,Stonefly_larvae,Order,4,4,Individuals,Present,N55 42.444,W005 17.068,7,,,WGS84,GB,9.1,101.8,6.3625
ND4FI_A,ND4FI_W2,Humanobservation,11/09/2025,Animalia,Ephemeroptera,,Mayfly_larvae,Order,2,2,Individuals,Present,N55 42.444,W005 17.068,10,,,WGS84,GB,8.9,101.8,6.3625
ND4FI_A,ND4FI_W3,Humanobservation,11/09/2025,Animalia,Coleoptera,,Waterbeetle ,Order,1,1,Individuals,Present,N55 42.444,W005 17.068,5,,,WGS84,GB,4.8,101.8,6.3625
ND4FI_A,ND4FI_W4,Humanobservation,11/09/2025,Animalia,Oligochaeta,,Worm,Order,2,2,Individuals,Present,N55 42.444,W005 17.068,1,,,WGS84,GB,3.5,101.8,6.3625
ND4FI_B,ND4FI_E1,Humanobservation,12/09/2025,Animalia,Odonata,anisoptera,Dragonfly_larvae,Family,1,1,Individuals,Present,N55 42.174,W005 15.983,,,,WGS84,GB,6.1,101.8,6.3625
ND4FI_B,ND4FI_E2,Humanobservation,12/09/2025,Animalia,Oligochaeta,,Worm,Order,3,3,Individuals,Present,N55 42.174,W005 15.983,1,,,WGS84,GB,3.5,101.8,6.3625
ND4FI_B,ND4FI_E3,Humanobservation,12/09/2025,Animalia,Plecoptera,,Stonefly_larvae,Order,1,1,Individuals,Present,N55 42.174,W005 15.983,7,,,WGS84,GB,9.1,101.8,6.3625
ND4FI_B,ND4FI_E4,Humanobservation,12/09/2025,Animalia,Ephemeroptera,,Mayfly_larvae,Order,3,3,Individuals,Present,N55 42.174,W005 15.983,10,,,WGS84,GB,8.9,101.8,6.3625
ND4FI_B,ND4FI_E5,Humanobservation,12/09/2025,Animalia,Coleoptera,,Waterbeetle_larvae,Order,1,1,Individuals,Present,N55 42.174,W005 15.983,5,,,WGS84,GB,4.8,101.8,6.3625
ND4FI_B,ND4FI_E6,Humanobservation,12/09/2025,Animalia,Trichoptera,,Cased_caddisfly_larvae,Order,2,2,Individuals,Present,N55 42.174,W005 15.983,"5, 10",,,WGS84,GB,6.9,101.8,6.3625
NU4FI_B,NU4FI_E1,Humanobservation,12/09/2025,Animalia,Plecoptera,,Stonefly_larvae,Order,2,2,Individuals,Present,N55 42.261,W005 16.032,7,,,WGS84,GB,9.1,21.5,7.166666667
NU4FI_B,NU4FI_E2,Humanobservation,12/09/2025,Animalia,Ephemeroptera,,Mayfly_larvae,Order,1,1,Individuals,Present,N55 42.261,W005 16.032,10,,,WGS84,GB,8.9,21.5,7.166666667
NU4FI_B,NU4FI_E3,Humanobservation,12/09/2025,Animalia,Oligochaeta,,Worm,Order,1,1,Individuals,Present,N55 42.261,W005 16.032,1,,,WGS84,GB,3.5,21.5,7.166666667
SD4FI_B,SD4FI_B1,Humanobservation,11/09/2025,Animalia,Coleoptera,dytiscidae,Diving_beetle,Family,1,1,Individuals,Present,N55 42.261,W005 16.032,5,,,WGS84,GB,4.8,52.5,5.833333333
SD4FI_B,SD4FI_B2,Humanobservation,11/09/2025,Animalia,Hemiptera,Corixidae,Lesser Water Boatman,Family,4,4,Individuals,Present,N55 41.802,W005 16.876,,,,WGS84,GB,3.7,52.5,5.833333333
SD4FI_B,SD4FI_B3,Humanobservation,11/09/2025,Animalia,Odonata,zygoptera ,Damselfly_larvae,Suborder,2,2,Individuals,Present,N55 41.802,W005 16.876,,,,WGS84,GB,3.5,52.5,5.833333333
SD4FI_B,SD4FI_B4,Humanobservation,11/09/2025,Animalia,Odonata,anisoptera,Dragonfly_larvae,Infraorder,3,3,Individuals,Present,N55 41.802,W005 16.876,,,,WGS84,GB,6.1,52.5,5.833333333
SD4FI_B,SD4FI_B5,Humanobservation,11/09/2025,Animalia,Hemiptera,Notonectidae,Greater Water Boatman,Family,2,2,Individuals,Present,N55 41.802,W005 16.876,,,,WGS84,GB,3.7,52.5,5.833333333
SU4FI_B,SU4FI_B1,Humanobservation,11/09/2025,Animalia,Ephemeroptera,,Mayfly_larvae,Order,2,2,Individuals,Present,,,10,,,WGS84,GB,8.9,52.5,5.833333333
SU4FI_B,SU4FI_B2,Humanobservation,11/09/2025,Animalia,Plecoptera,,Stonefly_larvae,Order,1,1,Individuals,Present,,,7,,,WGS84,GB,9.1,52.5,5.833333333
SU4FI_B,SU4FI_B3,Humanobservation,11/09/2025,Animalia,Trichoptera,,Caddisfly_case,Order,1,1,Individuals,Present,,,"5, 10",,,WGS84,GB,6.9,52.5,5.833333333
SU4FI_B,SU4FI_B4,Humanobservation,11/09/2025,Animalia,Diptera,simuliidae,Blackfly_larvae,Family,1,1,Individuals,Present,,,1,,,WGS84,GB,5.8,52.5,5.833333333
